ID,LID,Width,Color,type,LinkId
701,5636,10,W,1,0
702,5637,10,W,1,0
703,5638,10,W,1,0
704,5639,10,W,1,0
705,5640,10,W,1,0
706,5641,10,W,0,0
707,5642,10,W,0,0
708,5643,10,W,0,0
709,5644,10,W,0,0
710,5645,10,W,0,0
711,5646,10,W,0,0
712,5647,10,W,0,0
713,5648,10,W,0,0
714,5649,10,W,0,0
715,5650,10,W,0,0
716,5651,10,W,0,0
717,5652,10,W,0,0
718,5653,10,W,0,0
719,5654,10,W,0,0
720,5655,10,W,0,0
721,5656,10,W,0,0
722,5657,10,W,0,0
723,5658,10,W,1,0
724,5659,10,W,1,0
725,5660,10,W,1,0
726,5661,10,W,1,0
727,5662,10,W,1,0
728,5663,10,W,1,0
729,5664,10,W,1,0
730,5665,10,W,1,0
731,5666,10,W,1,0
732,5667,10,W,1,0
733,5668,10,W,1,0
734,5669,10,W,0,0
735,5670,10,W,0,0
736,5671,10,W,0,0
737,5672,10,W,0,0
738,5673,10,W,0,0
739,5674,10,W,0,0
740,5675,10,W,0,0
741,5676,10,W,0,0
742,5677,10,W,0,0
743,5678,10,W,0,0
744,5679,10,W,0,0
745,5680,10,W,0,0
746,5681,10,W,0,0
747,5682,10,W,0,0
748,5683,10,W,0,0
749,5684,10,W,0,0
750,5685,10,W,0,0
751,5686,10,W,0,0
752,5687,10,W,0,0
753,5688,10,W,0,0
754,5689,10,W,0,0
755,5690,10,W,0,0
756,5691,10,W,0,0
757,5692,10,W,0,0
758,5693,10,W,0,0
759,5694,10,W,0,0
760,5695,10,W,0,0
761,5696,10,W,0,0
762,5697,10,W,0,0
763,5698,10,W,0,0
764,5699,10,W,0,0
765,5700,10,W,0,0
766,5701,10,W,0,0
767,5702,10,W,0,0
768,5703,10,W,0,0
769,5704,10,W,0,0
770,5705,10,W,1,0
771,5706,10,W,1,0
772,5707,10,W,1,0
773,5708,10,W,1,0
774,5709,10,W,1,0
775,5710,10,W,1,0
776,5711,10,W,1,0
777,5712,10,W,1,0
778,5713,10,W,1,0
779,5714,10,W,1,0
780,5715,10,W,1,0
781,5716,10,W,1,0
782,5717,10,W,0,0
783,5718,10,W,0,0
784,5719,10,W,0,0
785,5720,10,W,0,0
786,5721,10,W,0,0
787,5722,10,W,0,0
788,5723,10,W,0,0
789,5724,10,W,0,0
790,5725,10,W,0,0
791,5726,10,W,0,0
792,5727,10,W,0,0
793,5728,10,W,0,0
794,5729,10,W,0,0
795,5730,10,W,0,0
796,5731,10,W,0,0
797,5732,10,W,0,0
798,5733,10,W,0,0
799,5734,10,W,0,0
800,5735,10,W,1,0
801,5736,10,W,1,0
802,5737,10,W,1,0
803,5738,10,W,1,0
804,5739,10,W,1,0
805,5740,10,W,1,0
806,5741,10,W,1,0
807,5742,10,W,1,0
808,5743,10,W,1,0
809,5744,10,W,1,0
810,5745,10,W,1,0
811,5746,10,W,1,0
812,5747,10,W,1,0
813,5748,10,W,1,0
814,5749,10,W,1,0
815,5750,10,W,1,0
816,5751,10,W,1,0
817,5752,10,W,1,0
818,5753,10,W,1,0
819,5754,10,W,1,0
820,5755,10,W,1,0
821,5756,10,W,1,0
822,5757,10,W,1,0
823,5758,10,W,1,0
824,5759,10,W,1,0
825,5760,10,W,1,0
826,5761,10,W,1,0
827,5762,10,W,1,0
828,5763,10,W,1,0
829,5764,10,W,1,0
830,5765,10,W,1,0
831,5766,10,W,1,0
832,5767,10,W,1,0
833,5768,10,W,1,0
834,5769,10,W,1,0
835,5770,10,W,1,0
836,5771,10,W,1,0
837,5772,10,W,1,0
838,5773,10,W,1,0
839,5774,10,W,1,0
840,5775,10,W,1,0
841,5776,10,W,1,0
842,5777,10,W,1,0
843,5778,10,W,1,0
844,5779,10,W,1,0
845,5780,10,W,1,0
846,5781,10,W,1,0
847,5782,10,W,1,0
848,5783,10,W,1,0
849,5784,10,W,1,0
850,5785,10,W,1,0
851,5786,10,W,1,0
852,5787,10,W,1,0
853,5788,10,W,1,0
854,5789,10,W,1,0
855,5790,10,W,1,0
856,5791,10,W,1,0
857,5792,10,W,1,0
858,5793,10,W,1,0
859,5794,10,W,1,0
860,5795,10,W,1,0
861,5796,10,W,1,0
862,5797,10,W,1,0
863,5798,10,W,1,0
864,5799,10,W,1,0
865,5800,10,W,1,0
866,5801,10,W,1,0
867,5802,10,W,1,0
868,5803,10,W,1,0
869,5804,10,W,1,0
870,5805,10,W,1,0
871,5806,10,W,1,0
872,5807,10,W,1,0
873,5808,10,W,1,0
874,5809,10,W,1,0
875,5810,10,W,1,0
876,5811,10,W,1,0
