PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
29,0.0,0.0,35.53875,11817.174,11704.137,0,0,0,0
30,0.0,0.0,34.265,11003.072,11172.31,0,0,0,0
31,0.0,0.0,48.996872,8437.075,10468.556,0,0,0,0
32,0.0,0.0,49.076874,8079.6934,10251.167,0,0,0,0
33,0.0,0.0,60.751873,11927.94,8565.698,0,0,0,0
34,0.0,0.0,51.681248,9402.903,11303.638,0,0,0,0
35,0.0,0.0,53.44187,11349.127,10079.834,0,0,0,0
36,0.0,0.0,34.213123,11897.716,11789.646,0,0,0,0
37,0.0,0.0,53.678123,11354.357,10057.977,0,0,0,0
38,0.0,0.0,47.896873,10079.075,8334.508,0,0,0,0
39,0.0,0.0,55.055622,11907.908,9891.205,0,0,0,0
40,0.0,0.0,34.1675,11514.935,11256.673,0,0,0,0
41,0.0,0.0,54.69875,11356.865,9841.909,0,0,0,0
42,0.0,0.0,52.43375,9604.409,11475.139,0,0,0,0
43,0.0,0.0,50.782497,11295.397,10463.406,0,0,0,0
45,0.0,0.0,34.57375,11338.538,11016.545,0,0,0,0
46,0.0,0.0,49.779373,8934.738,10818.737,0,0,0,0
47,0.0,0.0,40.03125,10981.827,11469.554,0,0,0,0
48,0.0,0.0,53.600624,9675.386,11503.088,0,0,0,0
49,0.0,0.0,48.969997,8351.973,10409.564,0,0,0,0
50,0.0,0.0,51.434998,9368.629,11267.056,0,0,0,0
51,0.0,0.0,49.940624,11800.02,10469.604,0,0,0,0
52,0.0,0.0,59.78562,11560.207,8279.902,0,0,0,0
53,0.0,0.0,52.833126,9619.828,11479.387,0,0,0,0
54,0.0,0.0,64.0025,12137.6045,8801.215,0,0,0,0
55,0.0,0.0,48.871872,8329.26,10393.965,0,0,0,0
56,0.0,0.0,49.033123,11291.353,10539.216,0,0,0,0
57,0.0,0.0,47.835625,10059.246,8344.73,0,0,0,0
59,0.0,0.0,49.13125,8479.093,10492.263,0,0,0,0
60,0.0,0.0,51.351875,10906.545,7717.6567,0,0,0,0
61,0.0,0.0,48.32375,11280.775,10552.478,0,0,0,0
62,0.0,0.0,36.660625,11840.555,11630.698,0,0,0,0
63,0.0,0.0,36.0,11210.852,11147.668,0,0,0,0
64,0.0,0.0,34.520626,11251.4,11253.916,0,0,0,0
65,0.0,0.0,36.203125,11296.785,10827.582,0,0,0,0
66,0.0,0.0,35.6925,11659.888,11654.592,0,0,0,0
67,0.0,0.0,35.51875,11554.407,11616.167,0,0,0,0
68,0.0,0.0,47.646873,11284.384,10564.385,0,0,0,0
69,0.0,0.0,34.113125,11507.654,11249.273,0,0,0,0
70,0.0,0.0,34.3525,11760.282,11458.051,0,0,0,0
71,0.0,0.0,52.885624,11345.972,9707.974,0,0,0,0
72,0.0,0.0,34.8275,11822.842,11733.966,0,0,0,0
73,0.0,0.0,33.859375,11399.955,11131.317,0,0,0,0
74,0.0,0.0,51.145622,11364.592,9521.428,0,0,0,0
75,0.0,0.0,48.996872,11285.9375,10536.382,0,0,0,0
76,0.0,0.0,33.505623,12110.025,11645.383,0,0,0,0
77,0.0,0.0,34.339375,11937.526,11792.144,0,0,0,0
78,0.0,0.0,54.01875,11350.032,9771.295,0,0,0,0
79,0.0,0.0,55.039375,11909.076,9879.598,0,0,0,0
80,0.0,0.0,55.0925,11660.781,9711.242,0,0,0,0
81,0.0,0.0,47.73875,9932.965,8439.0625,0,0,0,0
82,0.0,0.0,54.26625,11360.612,10011.585,0,0,0,0
83,0.0,0.0,35.484375,11544.392,11616.813,0,0,0,0
84,0.0,0.0,35.028126,11808.865,11727.738,0,0,0,0
85,0.0,0.0,49.01,8417.324,10446.945,0,0,0,0
86,0.0,0.0,51.94875,11013.061,7633.332,0,0,0,0
87,0.0,0.0,55.02375,11359.489,9895.544,0,0,0,0
