DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
372,0.954,21856,0,0,0,0,0,1.20,1.20
373,1.012,11203,0,0,0,0,0,1.20,1.20
374,0.758,24999,0,0,0,0,0,1.20,1.20
375,0.721,17664,0,0,0,0,0,1.20,1.20
376,0.661,5521,0,0,0,0,0,1.20,1.20
377,0.661,40682,0,0,0,0,0,1.20,1.20
378,0.574,15940,0,0,0,0,0,1.20,1.20
379,0.992,7766,0,0,0,0,0,1.20,1.20
380,0.521,29737,0,0,0,0,0,1.20,1.20
381,0.578,44500,0,0,0,0,0,1.20,1.20
382,0.472,2992,0,0,0,0,0,1.20,1.20
383,0.922,30395,0,0,0,0,0,1.20,1.20
384,0.889,44543,0,0,0,0,0,1.20,1.20
385,0.775,22956,0,0,0,0,0,1.20,1.20
386,0.862,17357,0,0,0,0,0,1.20,1.20
387,0.983,16823,0,0,0,0,0,1.20,1.20
388,0.603,37405,0,0,0,0,0,1.20,1.20
389,0.603,21272,0,0,0,0,0,1.20,1.20
390,0.898,18666,0,0,0,0,0,1.20,1.20
391,1.068,30668,0,0,0,0,0,1.20,1.20
392,0.617,30395,0,0,0,0,0,1.20,1.20
393,0.617,18586,0,0,0,0,0,1.20,1.20
394,0.610,3890,0,0,0,0,0,1.20,1.20
395,0.610,944,0,0,0,0,0,1.20,1.20
396,1.174,22502,0,0,0,0,0,1.20,1.20
397,1.174,36558,0,0,0,0,0,1.20,1.20
398,0.775,1987,0,0,0,0,0,1.20,1.20
399,0.775,23002,0,0,0,0,0,1.20,1.20
400,0.721,34755,0,0,0,0,0,1.20,1.20
401,0.721,28503,0,0,0,0,0,1.20,1.20
402,0.653,28188,0,0,0,0,0,1.20,1.20
403,0.653,1660,0,0,0,0,0,1.20,1.20
404,0.647,14824,0,0,0,0,0,1.20,1.20
405,0.647,2073,0,0,0,0,0,1.20,1.20
406,0.662,41146,0,0,0,0,0,1.20,1.20
407,0.717,20707,0,0,0,0,0,1.20,1.20
408,0.717,38977,0,0,0,0,0,1.20,1.20
409,0.896,6760,0,0,0,0,0,1.20,1.20
410,0.896,34999,0,0,0,0,0,1.20,1.20
411,1.033,22454,0,0,0,0,0,1.20,1.20
412,0.882,5786,0,0,0,0,0,1.20,1.20
413,0.882,21623,0,0,0,0,0,1.20,1.20
414,0.735,2292,0,0,0,0,0,1.20,1.20
415,0.630,25125,0,0,0,0,0,1.20,1.20
416,0.630,6995,0,0,0,0,0,1.20,1.20
417,0.656,12559,0,0,0,0,0,1.20,1.20
418,0.656,38307,0,0,0,0,0,1.20,1.20
419,1.072,20604,0,0,0,0,0,1.20,1.20
420,0.850,29758,0,0,0,0,0,1.20,1.20
421,1.109,34967,0,0,0,0,0,1.20,1.20
422,1.109,19930,0,0,0,0,0,1.20,1.20
423,1.109,29174,0,0,0,0,0,1.20,1.20
424,1.109,14897,0,0,0,0,0,1.20,1.20
425,1.109,40558,0,0,0,0,0,1.20,1.20
426,1.109,42151,0,0,0,0,0,1.20,1.20
427,1.109,645,0,0,0,0,0,1.20,1.20
428,1.109,25185,0,0,0,0,0,1.20,1.20
429,1.109,2327,0,0,0,0,0,1.20,1.20
430,1.109,19797,0,0,0,0,0,1.20,1.20
431,1.109,44337,0,0,0,0,0,1.20,1.20
432,1.109,27352,0,0,0,0,0,1.20,1.20
433,1.111,22248,0,0,0,0,0,1.20,1.20
434,1.111,33463,0,0,0,0,0,1.20,1.20
435,1.111,44056,0,0,0,0,0,1.20,1.20
436,1.111,7928,0,0,0,0,0,1.20,1.20
437,1.111,37772,0,0,0,0,0,1.20,1.20
438,1.111,42167,0,0,0,0,0,1.20,1.20
439,1.111,43095,0,0,0,0,0,1.20,1.20
440,1.111,37669,0,0,0,0,0,1.20,1.20
441,1.111,6637,0,0,0,0,0,1.20,1.20
442,1.111,18349,0,0,0,0,0,1.20,1.20
443,1.111,27663,0,0,0,0,0,1.20,1.20
444,1.196,20021,0,0,0,0,0,1.20,1.20
445,1.196,39913,0,0,0,0,0,1.20,1.20
446,1.196,26992,0,0,0,0,0,1.20,1.20
447,1.196,38038,0,0,0,0,0,1.20,1.20
448,1.196,16629,0,0,0,0,0,1.20,1.20
449,1.196,40370,0,0,0,0,0,1.20,1.20
450,1.196,14768,0,0,0,0,0,1.20,1.20
451,1.196,6583,0,0,0,0,0,1.20,1.20
452,1.196,15592,0,0,0,0,0,1.20,1.20
453,1.196,2880,0,0,0,0,0,1.20,1.20
454,1.196,5855,0,0,0,0,0,1.20,1.20
455,1.196,12324,0,0,0,0,0,1.20,1.20
456,1.196,27811,0,0,0,0,0,1.20,1.20
457,1.196,26449,0,0,0,0,0,1.20,1.20
